"","Sample","Av_Total_Int","Av_Blue_Int_Percent","Av_Green_Int_Percent","Av_Yellow_Int_Percent","Av_Red_Int_Percent","Av-LM","AV_MS","Av_Chroma","Av_Hue_radians","Av_Hue_degrees","Av_Adjust_Hue_degrees","Av_Adjust_Radians","Adjust_Hue_degrees_2SE","Total_Int_2SE","Chroma_2SE","Reverse_Chroma","Color_Class","Geography","Population","Intensity_Class"
"./2020_01_01_06_Intensity_Chroma_Hue.txt","./2020_01_01_06_Intensity_Chroma_Hue.txt",16489.3214677036,0.200835426974499,0.137857275358044,0.215208201823368,0.44609909584409,0.308241820486045,0.0143727748488691,0.308660316233102,0.0471261716343519,2.7001307392575,92.7001307392575,1.61857371132037,0.803780002228859,253.310653622789,0.00910936412515106,0.691339683766898,"LR","North ","1","L"
"./2020_01_03_05_Intensity_Chroma_Hue.txt","./2020_01_03_05_Intensity_Chroma_Hue.txt",13156.1980855591,0.221223968916921,0.150559563480174,0.139463071608595,0.48875339599431,0.338193832514136,-0.0817608973083261,0.347973807128542,6.0454369527825,346.378022706867,76.3780227068666,1.33358452345323,0.509719074875363,542.619350600317,0.00863013497350905,0.652026192871458,"LB","North ","1","L"
"./2020_01_06_03_Intensity_Chroma_Hue.txt","./2020_01_06_03_Intensity_Chroma_Hue.txt",10168.1235464419,0.200399929909004,0.0873552638664024,0.117104940604914,0.59513986561968,0.507784601753277,-0.0832949893040907,0.514593278012588,6.12037922173912,350.671898425215,80.671898425215,1.40855695663074,0.322259206133085,290.031549692927,0.00908939164158654,0.485406721987412,"DB","North ","1","D"
"./2020_01_07_08_Intensity_Chroma_Hue.txt","./2020_01_07_08_Intensity_Chroma_Hue.txt",15918.0248491568,0.22083620472714,0.110216514771866,0.217847321516292,0.451099958984702,0.340883444212836,-0.0029888832108481,0.340914601035572,4.70313185029189,269.469605515279,89.4696055152792,1.56216771534614,0.353030264358999,324.293820363021,0.0128754292050374,0.659085398964428,"LR","North ","1","L"
"./2020_01_08_42_Intensity_Chroma_Hue.txt","./2020_01_08_42_Intensity_Chroma_Hue.txt",16186.6840773545,0.253333805209112,0.174493539365745,0.153361156439227,0.418811498985916,0.244317959620171,-0.0999726487698852,0.264033989992882,5.89370534052528,337.684441705812,67.6844417058124,1.18179183930784,0.686331876870214,830.549520902159,0.016565594675029,0.735966010007118,"LB","North ","1","L"
"./2020_01_09_05_Intensity_Chroma_Hue.txt","./2020_01_09_05_Intensity_Chroma_Hue.txt",14273.1340785269,0.204368468349911,0.0971754278403765,0.206610192427153,0.49184591138256,0.394670483542183,0.00224172407724171,0.394754520284905,3.6710101293566,210.333386961908,90.3333869619077,1.57724961362061,0.690454220446436,408.263724306875,0.00988046487212386,0.605245479715095,"LR","North ","1","L"
"./2020_01_11_03_Intensity_Chroma_Hue.txt","./2020_01_11_03_Intensity_Chroma_Hue.txt",15782.4291994482,0.200467780502782,0.139395165398099,0.212965366552881,0.447171687546238,0.307776522148139,0.0124975860500997,0.308037222990165,0.0403391002091562,2.31126019133995,92.3112601913399,1.61178390810276,0.23371834395245,447.600786675048,0.0134042611366228,0.691962777009835,"LR","North ","1","L"
"./2020_01_15_04_Intensity_Chroma_Hue.txt","./2020_01_15_04_Intensity_Chroma_Hue.txt",16366.5353894153,0.19850777026121,0.131236495822126,0.213982112741049,0.456273621175615,0.325037125353489,0.0154743424798384,0.325414338024243,0.0474693841376864,2.71979536717469,92.7197953671747,1.61891706196654,0.260980032664593,564.716066094456,0.0101653992367732,0.674585661975757,"LR","North ","1","L"
"./2020_01_17_30_Intensity_Chroma_Hue.txt","./2020_01_17_30_Intensity_Chroma_Hue.txt",14832.8013961515,0.242895268098528,0.168883455709425,0.143119581407877,0.44510169478417,0.276218239074746,-0.0997756866906518,0.293716308610974,5.93657369721146,340.140617618592,70.140617618592,1.22467745048335,0.504444484167718,382.3583458623,0.00946304786394553,0.706283691389026,"LB","North ","1","L"
"./2020_01_19_30_Intensity_Chroma_Hue.txt","./2020_01_19_30_Intensity_Chroma_Hue.txt",16067.7773469396,0.212684413818797,0.134419927117706,0.215735305211791,0.437160353851707,0.302740426734001,0.00305089139299415,0.302841830672843,1.5821332724257,90.6495591372142,90.6495591372142,1.58277008017358,0.948015930970669,642.069852117107,0.0232273995147495,0.697158169327157,"LR","North ","1","L"
"./2020_01_20_05_Intensity_Chroma_Hue.txt","./2020_01_20_05_Intensity_Chroma_Hue.txt",16226.1848133519,0.200808447348983,0.126634632844341,0.210100419843015,0.46245649996366,0.33582186711932,0.00929197249403196,0.335956777756318,0.0274273579333484,1.57147185277552,91.5714718527755,1.59886696885799,0.213210750607343,496.14703198721,0.0190936463276891,0.664043222243682,"LR","North ","1","L"
"./2020_02_02_30_Intensity_Chroma_Hue.txt","./2020_02_02_30_Intensity_Chroma_Hue.txt",9689.32825917209,0.207691697378495,0.0852973668163981,0.102157059325156,0.604853876479952,0.519556509663554,-0.105534638053339,0.530235638338158,6.08216664631249,348.482479128944,78.4824791289437,1.3703290006641,0.56466183135958,331.497713049168,0.013510146085806,0.469764361661842,"DB","North ","2","D"
"./2020_02_04_36_Intensity_Chroma_Hue.txt","./2020_02_04_36_Intensity_Chroma_Hue.txt",10300.3812019872,0.223821012365931,0.106072718677998,0.102607986084124,0.567498282871948,0.46142556419395,-0.121213026281807,0.47713295965448,6.02612986586195,345.271808111627,75.2718081116268,1.3142696654411,0.509608974715735,334.345434859115,0.0070285739075475,0.52286704034552,"DB","North ","2","D"
"./2020_02_05_06_Intensity_Chroma_Hue.txt","./2020_02_05_06_Intensity_Chroma_Hue.txt",13643.1684081433,0.239000703758934,0.157411035245861,0.138751165520046,0.46483709547516,0.3074260602293,-0.100249538238888,0.323404969696356,5.96754249822859,341.914999213454,71.914999213454,1.25565871642539,0.580535978529473,307.988160144137,0.00892851963722831,0.676595030303644,"LB","North ","2","L"
"./2020_02_12_31_Intensity_Chroma_Hue.txt","./2020_02_12_31_Intensity_Chroma_Hue.txt",16179.7686857015,0.239985310847554,0.185997797986912,0.155201608765219,0.418815282400315,0.232817484413402,-0.0847837020823343,0.247794617548911,5.93408672767355,339.998124760292,69.9981247602918,1.2221894799416,0.43925196092038,298.256718276608,0.00642809051637149,0.752205382451089,"LB","North ","2","L"
