Individual,Tissue Type,ddCT,time,color,timeXcolor
DB2,S4,322.9066253,1,dark,dark1
DB2,S5,360.2346918,2,dark,dark2
DB2,S6,382.1555463,3,dark,dark3
DB2,D1S7,148.1889688,4,dark,dark4
DB2,D4S7,92.7852964,5,dark,dark5
LB2,S4,6.733229907,1,light,light1
LB2,S5,29.93921826,2,light,light2
LB2,S6,54.16727057,3,light,light3
LB2,D1S7,200.8582732,4,light,light4
LB2,D4S7,98.00166377,5,light,light5
DB3,S4,336.349662,1,dark,dark1
DB3,S5,373.9251081,2,dark,dark2
DB3,S6,372.5620722,3,dark,dark3
DB3,D1S7,71.50433522,4,dark,dark4
DB3,D4S7,5.712538633,5,dark,dark5
LB4,S4,0.030935225,1,light,light1
LB4,S5,1.834793085,2,light,light2
LB4,S6,26.871244,3,light,light3
LB4,D1S7,152.8332101,4,light,light4
LB4,D4S7,72.02849624,5,light,light5
DB1,S4,86.67198034,1,dark,dark1
DB1,S5,206.6838634,2,dark,dark2
DB1,S6,195.3045112,3,dark,dark3
DB1,D1S7,262.067658,4,dark,dark4
DB1,D4S7,129.3989228,5,dark,dark5
LB1,S4,0.448285942,1,light,light1
LB1,S5,7.607989826,2,light,light2
LB1,S6,166.9571388,3,light,light3
LB1,D1S7,197.0135119,4,light,light4
LB1,D4S7,219.681121,5,light,light5
DB4,S4,286.6469299,1,dark,dark1
DB4,S5,516.4192438,2,dark,dark2
DB4,S6,329.9899243,3,dark,dark3
DB4,D1S7,94.75753222,4,dark,dark4
DB4,D4S7,83.93708497,5,dark,dark5
LB3,S4,2.532869344,1,light,light1
LB3,S5,32.25674028,2,light,light2
LB3,S6,35.63998055,3,light,light3
LB3,D1S7,92.19827717,4,light,light4
LB3,D4S7,52.28902711,5,light,light5
DB5,S4,112.2086574,1,dark,dark1
DB5,S5,210.4562382,2,dark,dark2
DB5,S6,182.4792804,3,dark,dark3
DB5,D1S7,250.1788451,4,dark,dark4
DB5,D4S7,96.45476413,5,dark,dark5
LB5,S4,4.228198564,1,light,light1
LB5,S5,30.87993268,2,light,light2
LB5,S6,88.65799451,3,light,light3
LB5,D1S7,172.881418,4,light,light4
LB5,D4S7,101.8096459,5,light,light5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
