"Sample","Av_Total_Int","Av_Blue_Int_Percent","Av_Green_Int_Percent","Av_Yellow_Int_Percent","Av_Red_Int_Percent","Av-LM","AV_MS","Av_Chroma","Av_Hue_radians","Av_Hue_degrees","Av_Adjust_Hue_degrees","Av_Adjust_Radians","Adjust_Hue_degrees_2SE","Total_Int_2SE","Chroma_2SE","Reverse_Chroma","Treatment","Categorical_Hue","Individual","Intensity_Axis","ddct","PDS_ddct","PDS_Treatment"
"./2020_01_01_06_Intensity_Chroma_Hue.txt",16489.3214677036,0.200835426974499,0.137857275358044,0.215208201823368,0.44609909584409,0.308241820486045,0.0143727748488691,0.308660316233102,0.0471261716343519,2.7001307392575,92.7001307392575,1.61857371132037,0.803780002228859,253.310653622789,0.00910936412515106,0.691339683766898,"Light","Red","2020_01_01_06",1.87188003361844e-05,0.678014715,0.93,"Untreated"
"./2020_01_08_42_Intensity_Chroma_Hue.txt",16186.6840773545,0.253333805209112,0.174493539365745,0.153361156439227,0.418811498985916,0.244317959620171,-0.0999726487698852,0.264033989992882,5.89370534052528,337.684441705812,67.6844417058124,1.18179183930784,0.686331876870214,830.549520902159,0.016565594675029,0.735966010007118,"Light","Blue","2020_01_08_42",1.63118022648178e-05,0.591960644,1.04,"Untreated"
"./2020_01_11_03_Intensity_Chroma_Hue.txt",15782.4291994482,0.200467780502782,0.139395165398099,0.212965366552881,0.447171687546238,0.307776522148139,0.0124975860500997,0.308037222990165,0.0403391002091562,2.31126019133995,92.3112601913399,1.61178390810276,0.23371834395245,447.600786675048,0.0134042611366228,0.691962777009835,"Light","Red","2020_01_11_03",1.9517731972524e-05,0.325559758,0.54,"Untreated"
"./2020_01_15_04_Intensity_Chroma_Hue.txt",16366.5353894153,0.19850777026121,0.131236495822126,0.213982112741049,0.456273621175615,0.325037125353489,0.0154743424798384,0.325414338024243,0.0474693841376864,2.71979536717469,92.7197953671747,1.61891706196654,0.260980032664593,564.716066094456,0.0101653992367732,0.674585661975757,"Light","Red","2020_01_15_04",1.98829092585286e-05,0.089715814,NA,NA
"./2020_01_20_05_Intensity_Chroma_Hue.txt",16226.1848133519,0.200808447348983,0.126634632844341,0.210100419843015,0.46245649996366,0.33582186711932,0.00929197249403196,0.335956777756318,0.0274273579333484,1.57147185277552,91.5714718527755,1.59886696885799,0.213210750607343,496.14703198721,0.0190936463276891,0.664043222243682,"Light","Red","2020_01_20_05",2.07046068820733e-05,0.490864793,0.73,"Untreated"
"./2020_02_12_31_Intensity_Chroma_Hue.txt",16179.7686857015,0.239985310847554,0.185997797986912,0.155201608765219,0.418815282400315,0.232817484413402,-0.0847837020823343,0.247794617548911,5.93408672767355,339.998124760292,69.9981247602918,1.2221894799416,0.43925196092038,298.256718276608,0.00642809051637149,0.752205382451089,"Light","Blue","2020_02_12_31",1.53150902440215e-05,0.244939639,NA,NA
"./2020_02_14_03_Intensity_Chroma_Hue.txt",14544.6376476943,0.244815664684793,0.171996155727187,0.146161173574749,0.437027006013271,0.265030850286084,-0.098654491110043,0.282877225895603,5.92639854621298,339.55762441047,69.5576244104702,1.21449820399234,0.815605596155476,378.289705262881,0.0077856022568401,0.717122774104397,"Light","Blue","2020_02_14_03",1.94489015641065e-05,0.573934108,0.55,"Untreated"
"./2020_02_15_01_Intensity_Chroma_Hue.txt",16270.3209051444,0.251869370415961,0.179273851076573,0.149104574232689,0.419752204274777,0.240478353198204,-0.102764796183272,0.261570925028713,5.88026098163025,336.914136682868,66.9141366828678,1.16834206906595,0.773359510631901,582.011647518195,0.0143631726312921,0.738429074971287,"Light","Blue","2020_02_15_01",1.6076568283666e-05,0.278658666,NA,NA
"./2020_03_07_30_Intensity_Chroma_Hue.txt",15426.7024896908,0.210998991488217,0.114969062908163,0.210417817548862,0.463614128054758,0.348645065146596,-0.000581173939355006,0.348700016751665,4.71014220954642,269.871269513434,89.8712695134342,1.56918089626631,0.602941892246586,260.228531501122,0.0108090394024928,0.651299983248335,"Light","Red","2020_03_07_30",2.26036651050146e-05,0.791394659,0.82,"Untreated"
"./2020_03_09_04_Intensity_Chroma_Hue.txt",10173.3720176524,0.103130626402742,0.0341484688016044,0.161125156978243,0.70159574781741,0.667447279015806,0.0579945305755016,0.669972429759256,0.0865343550634197,4.95805332802048,94.9580533280205,1.65799775652099,0.192633403019623,215.573966666079,0.0122218390961049,0.330027570240744,"Dark","Red","2020_03_09_04",6.58554930063255e-05,0.840574012,NA,NA
