"","Row.names","fit$classification","Color_Class","Intensity_Class","Av_Total_Int","Av_Chroma","Av_Adjust_Hue_degrees","X","Sample","Av_Blue_Int_Percent","Av_Green_Int_Percent","Av_Yellow_Int_Percent","Av_Red_Int_Percent","Av.LM","AV_MS","Av_Hue_radians","Av_Hue_degrees","Av_Adjust_Radians","Adjust_Hue_degrees_2SE","Total_Int_2SE","Chroma_2SE","Reverse_Chroma","Geography","Population","plotcolassign"
"33","148","LB","LB","L",13592.1788460805,0.29348648980455,65.6860078973987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"34","149","LB","LB","L",14337.6968389587,0.312074456311349,68.6488923843628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"35","15","LB","LB","L",16179.7686857015,0.247794617548911,69.9981247602918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"36","150","LR","LR","L",12322.1657743995,0.403934924595945,92.7943564640123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LR"
"37","151","LR","LR","L",14840.4838734338,0.350376748713849,90.9026091770542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LR"
"38","152","DB","DB","D",12197.0919787806,0.392002358985195,70.5037449952251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"39","153","DB","DB","D",10294.9120112705,0.46952610503314,74.7414827843137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"40","154","DB","DB","D",9577.2639626621,0.54963917893328,79.8948967411133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"41","155","LB","LB","L",14205.1503431874,0.318300739423545,69.550174091069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"42","156","LB","LB","L",15581.7913672811,0.270303254743857,66.1496890454697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"43","157","LR","LR","L",13549.358206806,0.36367132756184,90.9358546868747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LR"
"44","158","DB","DB","D",11269.3017610638,0.440435216484652,77.1500326762206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"45","159","DB","DB","D",11114.4373852708,0.392100774754103,72.0057320781486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"46","16","LB","LB","L",13826.2815997669,0.29927844981178,71.6226995513319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"47","160","LB","LB","L",13667.4266478366,0.3003243389922,62.6413702368752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"48","161","DB","DB","D",10301.3797044632,0.526532261412588,78.1090434477822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"49","162","LR","LR","L",14501.7041623288,0.315907059374844,88.9580610688741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LR"
"50","163","DB","DB","D",10900.8876131739,0.457134793202356,74.0415282872982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"51","164","DB","DB","D",10450.3458599445,0.465964725333551,77.5743311811033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"52","165","DB","DB","D",10366.0703382992,0.437107436182739,74.1738098901687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"53","166","LR","LR","L",15289.648884669,0.291513269988942,88.2104472124244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LR"
"54","167","DB","DB","D",9328.02284768489,0.561849756893553,83.2111404450672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"55","168","LB","LB","L",14710.1904294914,0.294500896396998,67.7504345349188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"56","169","LB","LB","L",15142.1919463352,0.251897285145308,68.9363106384923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"57","17","LB","LB","L",14544.6376476943,0.282877225895603,69.5576244104702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"58","170","LB","LB","L",14388.1323046142,0.283084786084894,66.0828012452625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"59","171","DB","DB","D",11390.5659573201,0.405847036339041,72.954916828321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"60","172","LB","LB","L",15429.8826529534,0.233986781184528,64.141814543619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"61","173","LB","LB","L",13740.147548455,0.287938682025845,65.6991045277225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"62","174","LB","LB","L",14459.5897481309,0.271909298616334,61.0927698041709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"63","175","LB","LB","L",14349.2744849144,0.263004254700906,66.734028097915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
